Data item name,Description,Form name,Theme,Theme_count,Theme_group
year_ending,"The date in YYYYMM format which represents the end of the financial year. For example, 201803 represents March 2018, which was the end of the 2017-2018 fiscal year. The Revenue Outturn contains expenditure which took place over the course of a whole financial year.",all,ending,1,Other / Unmapped
ONS_code,The ONS local authority code.,all,code,1,Other / Unmapped
LA_LGF_code,"A Local Government Finance code, which MHCLG uses internally to represent local authorities. These are unique to each local authority, similar to the ONS local authority code.",all,LGF,1,Other / Unmapped
LA_name,The name of the local authority.,all,name,1,Other / Unmapped
status,"The submission status. Takes one of three values: submitted, not submitted, or total. Totals are calculated, further information available on the Metadata - totals page. ",all,,1,Other / Unmapped
LA_class,The general classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed. More information on local authority types is available at https://www.gov.uk/guidance/local-government-structure-and-elections,all,class,1,Other / Unmapped
LA_subclass,The detailed classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed. More information on local authority types is available at https://www.gov.uk/guidance/local-government-structure-and-elections,all,subclass,1,Subsidies
RG_grantindsg_tot_grant,Dedicated Schools Grant (DSG),RG,grantindsg,1,Grants
RG_grantinppg_tot_grant,Pupil Premium Grant,RG,grantinppg,1,Grants
RG_edu_services_grant,Education Services Grant,RG,edu,9,Education
RG_grantinusm_tot_grant,Universal Infants Free School Meals,RG,grantinusm,1,Grants
RG_grantinglat_tot_grant,GLA Transport Grant,RG,grantinglat,1,Grants
RG_grantinph_tot_grant,Public Health Grant,RG,grantinph,1,Grants
RG_grantinscs_tot_grant,Social Care Support Grant,RG,grantinscs,1,Grants
RG_grantinrsd_tot_grant,Rural Services Delivery Grant,RG,grantinrsd,1,Grants
RG_ASC_spprt_grant,Adult Social Care Grant,RG,ASC,1,Adult Social Care
RG_grantinibcf_tot_grant,Improved Better Care Fund,RG,grantinibcf,1,Grants
RG_grantinwp_tot_grant,Winter Pressures Grant,RG,grantinwp,1,Grants
RG_grantinlts_tot_grant,Grants within aggregate external finance - lower tier services grant,RG,grantinlts,1,Grants
RG_grantinilf_tot_grant,Former Independent Living Fund recipient grant ,RG,grantinilf,1,Grants
RG_grantinmkt_tot_grant,Market Sustainability and Fair Cost of Care Fund,RG,grantinmkt,1,Grants
RG_grantinsrvs_tot_grant,Services Grant,RG,grantinsrvs,1,Grants
RG_grantindsfnd_tot_grant,Adult Social Care (ASC) Discharge Fund,RG,grantindsfnd,1,Grants
RG_grantinfndgt_tot_grant,Funding Guarantee,RG,grantinfndgt,1,Grants
RG_grantinfhs_tot_grant,Flexible Homelessness Support Grant (a),RG,grantinfhs,1,Grants
RG_grantinhmlrdc_tot_grant,Homelessness Reduction Grant,RG,grantinhmlrdc,1,Grants
RG_grantinhbs_tot_grant,Housing Benefit Subsidy Admin Grant,RG,grantinhbs,1,Grants
RG_grantinnhb_tot_grant,New Homes Bonus,RG,grantinnhb,1,Grants
RG_grantinlcts_tot_grant,Localised Council Tax support administration subsidy grant ,RG,grantinlcts,1,Grants
RG_grantinpfi_tot_grant,The Private Finance Initiative (PFI),RG,grantinpfi,1,Grants
RG_grantintsttrc_tot_grant,Test and Trace Service Support Grant,RG,grantintsttrc,1,Grants
RG_grantinlasrg_tot_grant,COVID-19 LA Surge Funding,RG,grantinlasrg,1,Grants
RG_grantinascicf1_tot_grant,Adult Social Care Infection Control Fund - Round 1,RG,grantinascicf1,1,Grants
RG_grantinascicf2_tot_grant,Adult Social Care Infection Control Fund - Round 2,RG,grantinascicf2,1,Grants
RG_grantinascwrkcap_tot_grant,Adult Social Care Workplace Capacity Fund,RG,grantinascwrkcap,1,Grants
RG_grantinascrpdtst_tot_grant,Adult Social Care Rapid Testing Fund,RG,grantinascrpdtst,1,Grants
RG_grantincev_tot_grant,Clinically Extremely Vulnerable (CEV) Funding,RG,grantincev,1,Grants
RG_grantincmmchmp_tot_grant,Community Champions Fund,RG,grantincmmchmp,1,Grants
RG_grantincmpenf_tot_grant,Compliance and Enforcement Grant,RG,grantincmpenf,1,Grants
RG_grantinrophgst_tot_grant,Reopening High Streets Safely Fund,RG,grantinrophgst,1,Grants
RG_grantinrghslp_tot_grant,Provisional Rough Sleeping Emergency Funding,RG,grantinrghslp,2,Grants
RG_grantinnxtstpsacc_tot_grant,Next Steps Accommodation Programme,RG,grantinnxtstpsacc,1,Grants
RG_grantinlaemrgfd_tot_grant,Local Authority Emergency Assistance Grant for Food and Essential Supplies,RG,grantinlaemrgfd,1,Grants
RG_grantinhmschtrns_tot_grant,Additional Home to School Transport Funding,RG,grantinhmschtrns,1,Grants
RG_grantindwpwntspp_tot_grant,DWP Covid Winter Support Grant Scheme,RG,grantindwpwntspp,1,Grants
RG_grantinlclelc_tot_grant,Local Elections 2021 Funding,RG,grantinlclelc,1,Grants
