Variable,Description,Form_Name,Theme,Theme_count,Theme_group
PeriodCode,"The date in YYYYMM format which represents the end of the financial year. For example, 201903 represents March 2019, which was the end of the 2018-2019 fiscal year. The Capital Outturn Return contains expenditure which took place over the course of a whole financial year.",all,,7,Other / Unmapped
LA_LGF_Code,"A Local Government Finance code, which MHCLG uses internally to represent local authorities. These are unique to each local authority, similar to the ONS local authority code.",all,,7,Other / Unmapped
ONS_Code,The ONS local authority code.,all,,7,Other / Unmapped
LA_Name,The name of the local authority,all,,7,Other / Unmapped
LA_Class,The classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed.,all,,7,Other / Unmapped
LA_Subclass,The detailed classification of the local authority. A local authority's classification is related to the functions it carries out and how they are financed.,all,,7,Other / Unmapped
Status,"The submission status. Takes one of three values: submitted, not submitted, or total. Totals are calculated, further information available on the Totals tab.",all,,7,Other / Unmapped
EandR1-eduerlprm-explndbld,Early Years & Primary Schools - Acquisition of land & existing buildings,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expcnscnvrnv,"Early Years & Primary Schools - New construction, conversion & renovation",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expvhc,Early Years & Primary Schools - Vehicles,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expeqpmch,"Early Years & Primary Schools - Plant, furniture & equipment",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expvhceqpmch,"Early Years & Primary Schools - Vehicles, plant, furniture & equipment",EandR1,eduerlprm,27,Education
EandR1-eduerlprm-expint,Early Years & Primary Schools - Intangible fixed assets,EandR1,eduerlprm,27,Education
EandR1-eduerlprm-exptotfa,Early Years & Primary Schools - Total expenditure on fixed assets,EandR1,eduerlprm,27,Education
EandR1-eduscn-explndbld,Secondary Schools - Acquisition of land & existing buildings,EandR1,eduscn,27,Education
EandR1-eduscn-expcnscnvrnv,"Secondary Schools - New construction, conversion & renovation",EandR1,eduscn,27,Education
EandR1-eduscn-expvhc,Secondary Schools - Vehicles,EandR1,eduscn,27,Education
